Name,Type,Product,Activity
Electric-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, battery electric, 26t, regional delivery"
Electric-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, battery electric, 26t, regional delivery"
Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, fuel cell electric, 26t, regional delivery"
Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, fuel cell electric, 26t, regional delivery"
Diesel Hybrid Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, diesel hybrid, 26t, regional delivery"
Diesel Hybrid Short Distance Semi-trailer truck,Construction,truck,"truck, diesel hybrid, 26t, regional delivery"
Propane-Powered Short Distance Semi-trailer truck,Operation,"transport, truck","transport, truck, compressed gas, 26t, regional delivery"
Propane-Powered Short Distance Semi-trailer truck,Construction,truck,"truck, compressed gas, 26t, regional delivery"
Implementation of SMART Process from ethylbenzene to styrene,Construction,"chemical factory, organics","chemical factory construction, organics"
Implementation of SMART Process from ethylbenzene to styrene,Operation,styrene,styrene production
Steam Methane Reforming,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming"
Steam Methane Reforming with Carbon Capture,Operation,"hydrogen, gaseous, low pressure","hydrogen production, steam methane reforming, with CCS"
Steam Methane Reforming with Carbon Capture (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Steam Methane Reforming with Carbon Capture (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Steam Methane Reforming (plant),Construction,"chemical factory, organics","chemical factory construction, organics"
Steam Methane Reforming (storage tank),Construction,"liquid storage tank, chemicals, organics","market for liquid storage tank, chemicals, organics"
Solid Oxide Electrolysis Cell Electrolysis,Operation,"hydrogen, gaseous, 1 bar","hydrogen production, gaseous, 1 bar, from SOEC electrolysis, from grid electricity"
Solid Oxide Electrolysis Cell Electrolysis (plant),Construction,"electrolyzer, 1MWe, SOEC, Balance of Plant","electrolyzer production, 1MWe, SOEC, Balance of Plant"
Solid Oxide Electrolysis Cell Electrolysis (plant decommissioning),Construction,"used fuel cell balance of plant, 1MWe, SOEC","treatment of fuel cell balance of plant, 1MWe, SOEC"
Solid Oxide Electrolysis Cell Electrolysis (stack),Construction,"electrolyzer, 1MWe, SOEC, Stack","electrolyzer production, 1MWe, SOEC, Stack"
Solid Oxide Electrolysis Cell Electrolysis (stack decommissioning),Construction,"used fuel cell stack, 1MWe, SOEC","treatment of fuel cell stack, 1MWe, SOEC"
Solid Oxide Fuel Cell,Construction,"fuel cell, stack solid oxide, 125kW electrical, future","fuel cell production, stack solid oxide, 125kW electrical, future"
Solid Oxide Fuel Cell,Operation,"electricity, from residential heating system","electricity, residential, by conversion of hydrogen using fuel cell, SOFC, allocated by exergy, distributed by pipeline, produced by Electrolysis, PEM using electricity from grid"
Steel Production,Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
Steel Production,Construction,aluminium casting facility,aluminium casting facility construction
Steel Production (heat pump),Construction,aluminium casting facility,aluminium casting facility construction
Steel Production (heat pump),Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
Steel Production with Heat Recovery,Operation,"steel, chromium steel 18/8","market for steel, chromium steel 18/8"
Steel Production with Heat Recovery,Construction,aluminium casting facility,aluminium casting facility construction
Styrene Polymerization Process,Construction,"chemical factory, organics","chemical factory construction, organics"
Styrene Polymerization Process,Operation,"polystyrene, expandable","polystyrene production, expandable"
100% BioDiesel-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
100% BioDiesel-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
20% BioDiesel-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
20% BioDiesel-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
Compressed Natural Gas-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab"
Compressed Natural Gas-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab"
Diesel-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
Diesel-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
10% Ethanol-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
10% Ethanol-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
85% Ethanol-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab"
85% Ethanol-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab"
Electric-Powered Sport Utility Vehicle,Construction,passenger car,"passenger car, battery electric, Large SUV"
Electric-Powered Sport Utility Vehicle,Operation,"transport, passenger car","transport, passenger car, battery electric, Large SUV"
Hydrogen Fuel Cell-Powered Sport Utility Vehicle,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV"
Hydrogen Fuel Cell-Powered Sport Utility Vehicle,Construction,passenger car,"passenger car, fuel cell electric, Large SUV"
Gasoline-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab"
Gasoline-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab"
Gasoline Hybrid Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab"
Gasoline Hybrid Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab"
Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab"
Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab"
Propane-Powered Sport Utility Vehicle,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab"
Propane-Powered Sport Utility Vehicle,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab"
Tidal power,Construction,wave energy converter platform,wave energy converter platform production
Tidal power,Operation,"electricity, high voltage","electricity production, wave energy converter"
Extra High to High Voltage Transformer,Operation,"electricity, high voltage","market for electricity, high voltage"
High to Extra High Voltage Transformer,Operation,"electricity, high voltage","market for electricity, high voltage"
High to Medium Voltage Transformer,Operation,"electricity, high voltage","market for electricity, high voltage"
Low to Medium Voltage Transformer,Operation,"electricity, low voltage","market for electricity, low voltage"
Medium to High Voltage Transformer,Operation,"electricity, medium voltage","market for electricity, medium voltage"
Medium to Low Voltage Transformer,Operation,"electricity, medium voltage","market for electricity, medium voltage"
Diesel-Powered Train,Operation,"transport, passenger train","transport, passenger train"
Diesel-Powered Train,Construction,"train, passenger, long-distance","train production, passenger, long-distance"
Electric-Powered Train,Operation,"transport, passenger train","transport, passenger train, high-speed"
Electric-Powered Train,Construction,"train, passenger, high speed","market for train, passenger, high speed"
Diesel-Powered Freight Train,Operation,"transport, freight train","transport, freight train, diesel"
Diesel-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Diesel-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
"Electric-Powered Freight Train (co-generation unit, components for electricity)",Operation,"transport, freight train","transport, freight train, electricity"
Electric-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Electric-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Hydrogen-Powered Freight Train,Operation,"transport, freight train","transport, freight train, electricity"
Hydrogen-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Hydrogen-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Hybrid Battery-Fuel Cell-Powered Freight Train,Operation,"transport, freight train","transport, freight train, electricity"
Hybrid Battery-Fuel Cell-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Hybrid Battery-Fuel Cell-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Natural Gas-Powered Freight Train,Operation,"transport, freight train","transport, freight train, diesel"
Natural Gas-Powered Freight Train (locomotive),Construction,locomotive,locomotive production
Natural Gas-Powered Freight Train (wagon),Construction,goods wagon,goods wagon production
Hydrogen-Powered Train,Operation,"transport, passenger train","transport, passenger train"
Hydrogen-Powered Train,Construction,"train, passenger, long-distance","train production, passenger, long-distance"
Natural Gas-Powered Train,Operation,"transport, passenger train","transport, passenger train"
Natural Gas-Powered Train,Construction,"train, passenger, long-distance","train production, passenger, long-distance"
Tramway,Construction,tram,tram production
Tramway,Operation,"transport, tram","transport, tram"
100% BioDiesel-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
100% BioDiesel-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
20% BioDiesel-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
20% BioDiesel-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
Compressed Natural Gas-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul"
Compressed Natural Gas-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul"
Diesel-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
Diesel-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
Electric-Powered Long Distance Truck,Construction,medium duty truck,"medium duty truck, battery electric, 18t gross weight, long haul"
Electric-Powered Long Distance Truck,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 18t gross weight, long haul"
Gasoline-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel, 18t gross weight, EURO-VI, long haul"
Gasoline-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul"
Diesel Hybrid Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, diesel hybrid, 18t gross weight, EURO-VI, long haul"
Diesel Hybrid Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel hybrid, 18t gross weight, EURO-VI, long haul"
Propane-Powered Long Distance Truck,Operation,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul"
Propane-Powered Long Distance Truck,Construction,"Medium duty truck, EURO-VI","Medium duty truck, compressed gas, 18t gross weight, EURO-VI, long haul"
100% BioDiesel-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, diesel, 18t, regional delivery"
100% BioDiesel-Powered Short Distance Truck,Construction,truck,"truck, diesel, 18t, regional delivery"
20% BioDiesel-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, diesel, 18t, regional delivery"
20% BioDiesel-Powered Short Distance Truck,Construction,truck,"truck, diesel, 18t, regional delivery"
Compressed Natural Gas-Powered Short Distance Truck,Construction,truck,"truck, compressed gas, 18t, regional delivery"
Compressed Natural Gas-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, compressed gas, 18t, regional delivery"
Diesel-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, diesel, 18t, regional delivery"
Diesel-Powered Short Distance Truck,Construction,truck,"truck, diesel, 18t, regional delivery"
Electric-Powered Short Distance Truck,Construction,truck,"truck, battery electric, 18t, regional delivery"
Electric-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, battery electric, 18t, regional delivery"
Gasoline-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, diesel, 18t, regional delivery"
Gasoline-Powered Short Distance Truck,Construction,truck,"truck, diesel, 18t, regional delivery"
Diesel Hybrid Short Distance Truck,Operation,"transport, truck","transport, truck, diesel hybrid, 18t, regional delivery"
Diesel Hybrid Short Distance Truck,Construction,truck,"truck, diesel hybrid, 18t, regional delivery"
Propane-Powered Short Distance Truck,Construction,truck,"truck, compressed gas, 18t, regional delivery"
Propane-Powered Short Distance Truck,Operation,"transport, truck","transport, truck, compressed gas, 18t, regional delivery"
Sequestration of CO2 in Unmineable Coal Seams,Operation,"carbon dioxide, stored","carbon dioxide compression, transport and storage"
Wind Energy Offshore,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, offshore"
Wind Energy Offshore (fixed parts),Construction,"wind power plant, 2MW, offshore, fixed parts","market for wind power plant, 2MW, offshore, fixed parts"
Wind Energy Offshore (moving parts),Construction,"wind power plant, 2MW, offshore, moving parts","market for wind power plant, 2MW, offshore, moving parts"
Wind Energy Onshore,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore"
Wind Energy Onshore (connection),Construction,"wind turbine network connection, 2MW, onshore","wind turbine network connection construction, 2MW, onshore"
Wind Energy Onshore (co-generation unit),Construction,"wind turbine, 2MW, onshore","wind turbine construction, 2MW, onshore"
New Wind Energy Onshore,Operation,"electricity, high voltage","electricity production, wind, 1-3MW turbine, onshore"
New Wind Energy Onshore (connection),Construction,"wind turbine network connection, 2MW, onshore","wind turbine network connection construction, 2MW, onshore"
New Wind Energy Onshore (co-generation unit),Construction,"wind turbine, 2MW, onshore","wind turbine construction, 2MW, onshore"
Conversion of Wood to Methanol,Operation,"methanol, unpurified","methanol synthesis, from wood, with CCS"
Conversion of Wood to Methanol,Construction,methanol factory,methanol factory construction
Acetic acid,Resource,"acetic acid, without water, in 98% solution state","market for acetic acid, without water, in 98% solution state"
Acetone,Resource,"acetone, liquid","market for acetone, liquid"
Bio-diesel,Resource,"biodiesel, vehicle grade","biodiesel, from used cooking oil, at fuelling station"
Benzene,Resource,benzene,market for benzene
Coal,Resource,hard coal,market for hard coal
Diesel,Resource,"diesel, low-sulfur","market for diesel, low-sulfur"
Electricity exports,Resource,"electricity, high voltage","market for electricity, high voltage"
Electricity (high voltage),Resource,"electricity, high voltage","electricity production, hydro, reservoir, non-alpine region"
Ethane,Resource,ethane,market for ethane
Ethanol,Resource,"ethanol, without water, in 99.7% solution state, from fermentation","market for ethanol, without water, in 99.7% solution state, from fermentation"
Ethylbenzene,Resource,ethyl benzene,market for ethyl benzene
Ethylene,Resource,ethylene,market for ethylene
Gasoline,Resource,"petrol, low-sulfur","petrol production, low-sulfur"
Hydrogen (extreme high pressure),Resource,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen (high pressure),Resource,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen (low pressure),Resource,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Hydrogen (medium pressure),Resource,"hydrogen, gaseous, low pressure","market for hydrogen, gaseous, low pressure"
Jet fuel,Resource,kerosene,market for kerosene
Light fuel oil,Resource,light fuel oil,market for light fuel oil
Liquified natural gas,Resource,"natural gas, liquefied","market for natural gas, liquefied"
Methanol,Resource,methanol,market for methanol
Natural gas (extreme high pressure),Resource,"natural gas, high pressure","market for natural gas, high pressure"
Natural gas (high pressure),Resource,"natural gas, high pressure","market for natural gas, high pressure"
Natural gas (low pressure),Resource,"natural gas, low pressure","market for natural gas, low pressure"
Natural gas (medium pressure),Resource,"natural gas, medium pressure, vehicle grade","natural gas production, medium pressure, vehicle grade"
Polyethylene,Resource,"polyethylene, high density, granulate","market for polyethylene, high density, granulate"
Polyethylene terephthalate,Resource,"polyethylene terephthalate, granulate, amorphous","market for polyethylene terephthalate, granulate, amorphous"
Phenol,Resource,phenol,market for phenol
Polypropylene,Resource,"polypropylene, granulate","market for polypropylene, granulate"
Propane,Resource,propane,market for propane
Propylene,Resource,propylene,market for propylene
Polystyrene,Resource,"polystyrene, general purpose","market for polystyrene, general purpose"
Polyvinyl chloride,Resource,"polyvinylchloride, bulk polymerised","market for polyvinylchloride, bulk polymerised"
Synthetic natural gas,Resource,biogas,market for biogas
Styrene,Resource,styrene,market for styrene
Toluene,Resource,"toluene, liquid","market for toluene, liquid"
Uranium,Resource,"nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX","market for nuclear fuel element, for pressure water reactor, UO2 4.2% & MOX"
Xylene,Resource,"xylene, mixed","market for xylene, mixed"
Compressed Synthetic Natural Gas-Powered Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m double deck urban bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered School Bus,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered School Bus,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck urban bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered Car,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Medium, EURO-6ab"
Compressed Synthetic Natural Gas-Powered Car,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Medium, EURO-6ab"
BioEthanol-Powered Car (E10 Blend),Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
BioEthanol-Powered Car (E10 Blend),Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
BioEthanol-Powered Car with E85 Blend,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
BioEthanol-Powered Car with E85 Blend,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Biomethanol-Powered Car ,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Medium, EURO-6ab"
Biomethanol-Powered Car ,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Medium, EURO-6ab"
Combined Cycle BioGas Turbine,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Combined Cycle BioGas Turbine,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
Combined Cycle BioGas Turbine with Carbon Capture,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
Combined Cycle BioGas Turbine with Carbon Capture,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Compressed Synthetic Natural Gas-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
Compressed Synthetic Natural Gas-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, compressed gas, 13m single deck coach bus, EURO-VI"
10% BioEthanol-Powered Coach,Construction,"Passenger bus, EURO-VI","Passenger bus, diesel, 13m single deck coach bus, EURO-VI"
10% BioEthanol-Powered Coach,Operation,"transport, passenger bus, EURO-VI","transport, passenger bus, diesel, 13m single deck coach bus, EURO-VI"
Decentralized Boiler with BioGas Combustion,Operation,"heat, central or small-scale, natural gas","heat production, natural gas, at boiler modulating <100kW"
Decentralized Boiler with BioGas Combustion,Construction,gas boiler,gas boiler production
Decentralized Boiler with BioOil Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
Decentralized Boiler with BioOil Combustion (boiler),Construction,"oil boiler, 10kW","oil boiler production, 10kW"
Decentralized Boiler with BioOil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Decentralized Cogeneration with BioGas Combustion,Operation,"heat, central or small-scale, natural gas","heat and power co-generation, natural gas, 50kW electrical, lean burn"
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 50kW electrical, common components for heat+electricity","heat and power co-generation unit construction, 50kW electrical, common components for heat+electricity"
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 50kW electrical, components for electricity only","heat and power co-generation unit construction, 50kW electrical, components for electricity only"
"Decentralized Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 50kW electrical, components for heat only","heat and power co-generation unit construction, 50kW electrical, components for heat only"
Decentralized Cogeneration with BioOil Combustion,Operation,"heat, central or small-scale, other than natural gas","heat production, light fuel oil, at boiler 10kW condensing, non-modulating"
Decentralized Cogeneration with BioOil Combustion (boiler),Construction,"oil boiler, 10kW","oil boiler production, 10kW"
Decentralized Cogeneration with BioOil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Decentralized Cogeneration with BioOil Combustion (co-generation unit),Construction,"heat and power co-generation unit, organic Rankine cycle, 200kW electrical","heat and power co-generation unit construction, organic Rankine cycle, 200kW electrical"
Decentralized Thermal BioGas Heat Pump,Operation,"heat, future","heat production, natural gas, at diffusion absorption heat pump 4kW, future"
Decentralized Thermal BioGas Heat Pump (heat exchanger),Construction,"borehole heat exchanger, 150m","borehole heat exchanger production, 150m"
Decentralized Thermal BioGas Heat Pump (heat pump),Construction,"heat pump, diffusion absorption, 4kW, future","heat pump production, diffusion absorption, 4kW, future"
District Heating Network Boiler with BioGas Combustion,Construction,"industrial furnace, natural gas","market for industrial furnace, natural gas"
District Heating Network Boiler with BioGas Combustion,Operation,"heat, district or industrial, natural gas","heat production, natural gas, at boiler modulating >100kW"
District Heating Network Boiler with BioOil Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, light fuel oil, at industrial furnace 1MW"
District Heating Network Boiler with BioOil Combustion (boiler),Construction,"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
District Heating Network Boiler with BioOil Combustion (storage tank),Construction,"oil storage, 3000l","oil storage production, 3000l"
District Heating Network Cogeneration with BioGas Combustion,Operation,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
"District Heating Network Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
Conversion of BioEthanol to Jet Fuels,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of BioEthanol to Jet Fuels,Operation,"kerosene, synthetic","kerosene production, from methanol, hydrogen from coal gasification, energy allocation"
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant"
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Operation,"electricity, high voltage","electricity production, at natural gas-fired combined cycle power plant, post, pipeline 200km, storage 1000m"
Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Construction,"NGCC power plant, 400MWe","market for gas power plant, combined cycle, 400MW electrical"
Industrial Boiler with BioGas Combustion,Construction,"industrial furnace, natural gas","industrial furnace production, natural gas"
Industrial Boiler with BioGas Combustion,Operation,"heat, district or industrial, natural gas","heat production, natural gas, at industrial furnace >100kW"
Industrial Boiler with BioOil Combustion,Operation,"heat, district or industrial, other than natural gas","heat production, heavy fuel oil, at industrial furnace 1MW"
Industrial Boiler with BioOil Combustion (plant),Construction,"industrial furnace, 1MW, oil","industrial furnace production, 1MW, oil"
Industrial Boiler with BioOil Combustion (storage tank),Construction,"oil storage, 3000l","market for oil storage, 3000l"
Industrial Cogeneration with BioGas Combustion,Operation,"heat, district or industrial, natural gas","heat and power co-generation, natural gas, 1MW electrical, lean burn"
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for heat and electricity)",Construction,"heat and power co-generation unit, 1MW electrical, common components for heat+electricity","heat and power co-generation unit construction, 1MW electrical, common components for heat+electricity"
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for electricity)",Construction,"heat and power co-generation unit, 1MW electrical, components for electricity only","heat and power co-generation unit construction, 1MW electrical, components for electricity only"
"Industrial Cogeneration with BioGas Combustion (co-generation unit, components for heat)",Construction,"heat and power co-generation unit, 1MW electrical, components for heat only","heat and power co-generation unit construction, 1MW electrical, components for heat only"
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Construction,truck,"truck, compressed gas, 3.5t, urban delivery"
Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Operation,"transport, truck","transport, truck, compressed gas, 3.5t, urban delivery"
Conversion of BioMethane to Methanol,Construction,methanol factory,methanol factory construction
Conversion of BioMethane to Methanol,Operation,methanol,"methanol production, natural gas reforming"
BioMethanol Cabonylation Process,Construction,"chemical factory, organics","chemical factory construction, organics"
BioMethanol Cabonylation Process,Operation,"acetic acid, without water, in 98% solution state","acetic acid production, methanol carboxylation (Monsanto), product in 98% solution state"
BioMethanol Synthesis via Fischer-Tropsch Process,Construction,methanol factory,methanol factory construction
BioMethanol Synthesis via Fischer-Tropsch Process,Operation,"methanol, from biomass","methanol production, biomass gasification"
Conversion of BioMethanol to Aromatic Compounds,Operation,"xylene, mixed","BTX production, from pyrolysis gas, average"
Conversion of BioMethanol to Aromatic Compounds,Construction,"chemical factory, organics","chemical factory construction, organics"
Conversion of BioMethanol to Olefinic Compounds,Operation,n-olefins,n-olefins production
Conversion of BioMethanol to Olefinic Compounds,Construction,"chemical factory, organics","chemical factory construction, organics"
Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Operation,"natural gas, low pressure","market for natural gas, low pressure"
Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Construction,"air compressor, screw-type compressor, 4kW","air compressor production, screw-type compressor, 4kW"
Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Operation,"natural gas, medium pressure, vehicle grade","market for natural gas, medium pressure, vehicle grade"
Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Construction,"air compressor, screw-type compressor, 300kW","air compressor production, screw-type compressor, 300kW"
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure,Operation,"natural gas, high pressure","market for natural gas, high pressure"
Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure (co-generation unit),Construction,"air input/output unit, heat and power co-generation unit, 160kW electrical","air input/output unit production, heat and power co-generation unit, 160kW electrical"
